uuid,name,component_type,catalog_name,equipment_class,r11,r22,r33,x11,x22,x33,r_matrix_units,x_matrix_units,c_matrix_units,ampacity_value,ampacity_units,construction
d3dd41e7-f8c0-4c9b-97a8-ce30e3b72d03,3p_oh_al_acsr_4/0_penguin_3,MatrixImpedanceBranchEquipment,,,0.3635667,0.3635667,0.3635667,0.6385333,0.6385333,0.6385333,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,325,ampere,OVERHEAD
288ea2e9-6acf-4e0a-a2fc-5caa932d208d,3p_ug_al_350kcmil_3_5,MatrixImpedanceBranchEquipment,,,0.3388667,0.3388667,0.3388667,0.5126,0.5126,0.5126,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,370,ampere,OVERHEAD
2b2eadf3-5f78-4bac-a036-ea63903edb51,3p_ug_al_750kcmil_3_2,MatrixImpedanceBranchEquipment,,,0.2296133,0.2296133,0.2296133,0.54,0.54,0.54,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,550,ampere,OVERHEAD
88b9dc9d-d1ce-4056-8748-57de0e6adcca,padswitch_1_3,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,151,ampere,OVERHEAD
a1b038fd-4f7e-4e09-ba38-8b41b62e5093,padswitch_1_4,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,301,ampere,OVERHEAD
628d31a6-6b58-4bb5-8022-927f7688e798,padswitch_1,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,205,ampere,OVERHEAD
8d927255-af67-4877-a6e0-ee1571bb32ab,padswitch_1_1,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,165,ampere,OVERHEAD
3da01be3-6a36-4944-b9da-aa1eaadc6980,padswitch_1_5,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,115,ampere,OVERHEAD
1a9f8cb6-ac19-4c48-9c0f-8712c25107e3,padswitch_3_2,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,295,ampere,OVERHEAD
11c1ff8e-eb49-4107-b40f-a4b9809dfbcc,padswitch_3,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,325,ampere,OVERHEAD
f8a84511-0b6e-4a9a-a11b-a65d9fb7e699,padswitch_3_3,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,390,ampere,OVERHEAD
cf754469-702a-480d-b06f-6538cee5409c,padswitch_1_2,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,233,ampere,OVERHEAD
eabbf433-6eed-45a4-97e0-18484b8ba72d,padswitch_3_4,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,525,ampere,OVERHEAD
